Date,Name,Country,State,Legal,Note
2024-01-06,Heilige Drei Könige,DE,BW|BY|ST,true,
2024-02-02,Mariä Lichtmess,DE,ALL,false,
2024-02-08,Weiberfastnacht,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2024-02-10,Fastnachtssamstag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2024-02-11,Fastnachtssonntag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2024-02-12,Rosenmontag,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2024-02-13,Fastnacht,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2024-02-14,Valentinstag,DE,ALL,false,
2024-02-14,Aschermittwoch,DE,ALL,false,"Karneval, Fastnacht und Fasching"
2024-03-08,Internationaler Frauentag,DE,BE|MV,false,
2024-03-19,Josefstag,DE,BY,false,
2024-03-24,Palmsonntag,DE,ALL,false,
2024-03-28,Gründonnerstag,DE,ALL,false,"Ostern in Deutschland"
2024-03-29,Karfreitag,DE,ALL,true,"Ostern in Deutschland"
2024-03-30,Karsamstag,DE,ALL,false,
2024-03-31,Ostersonntag,DE,BB,false,"Ostern in Deutschland"
2024-04-01,Ostermontag,DE,ALL,true,"Ostern in Deutschland"
2024-04-30,Walpurgisnacht,DE,ALL,false,
2024-05-01,Tag der Arbeit,DE,ALL,true,
2024-05-09,Vatertag,DE,ALL,false,
2024-05-09,Christi Himmelfahrt,DE,ALL,true,
2024-05-12,Muttertag,DE,ALL,false,
2024-05-19,Pfingstsonntag,DE,BB,false,"Pfingsten in Deutschland"
2024-05-20,Pfingstmontag,DE,ALL,true,"Pfingsten in Deutschland"
2024-05-30,Fronleichnam,DE,BW|BY|HE|NW|RP|SL,true,
2024-06-17,Aufstand des 17. Juni,DE,ALL,false,
2024-06-24,Johannistag,DE,ALL,false,
2024-06-29,Peter und Paul,DE,ALL,false,
2024-08-08,Augsburger Friedensfest,DE,BY,true,
2024-08-15,Mariä Himmelfahrt,DE,BY|SL,true,
2024-09-20,Weltkindertag,DE,TH,true,
2024-10-03,Tag der Deutschen Einheit,DE,ALL,true,
2024-10-06,Erntedankfest,DE,ALL,false,
2024-10-31,Halloween,DE,ALL,false,
2024-10-31,Reformationstag,DE,BB|HB|HH|MV|NI|SN|ST|SH|TH,true,
2024-11-01,Allerheiligen,DE,BW|BY|NW|RP|SL,true,
2024-11-02,Allerseelen,DE,ALL,false,
2024-11-11,Martinstag,DE,ALL,false,
2024-11-17,Volkstrauertag,DE,ALL,false,
2024-11-20,Buß- und Bettag,DE,SN,true,
2024-11-24,Totensonntag,DE,ALL,false,
2024-12-01,1. Advent,DE,ALL,false,
2024-12-04,Barbaratag,DE,ALL,false,
2024-12-06,Nikolaus,DE,ALL,false,
2024-12-08,2. Advent,DE,ALL,false,
2024-12-15,3. Advent,DE,ALL,false,
2024-12-22,4. Advent,DE,ALL,false,
2024-12-24,Heiligabend,DE,ALL,false,"Weihnachten in Deutschland"
2024-12-25,1. Weihnachtstag,DE,ALL,true,"Weihnachten in Deutschland"
2024-12-26,2. Weihnachtstag,DE,ALL,true,"Weihnachten in Deutschland"
2024-12-31,Silvester,DE,ALL,false,
2025-01-01,Neujahr,DE,ALL,true,
2025-01-06,Heilige Drei Könige,DE,BW|BY|ST,false,
